,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
106,13.0,0.5,8.0,0.4,2.004718398,2.0163293
107,22.0,0.5,8.0,0.4,2.004791045,2.0278544
108,31.0,0.5,8.0,0.4,2.004745148,2.0366783
109,40.0,0.5,8.0,0.4,2.005160087,2.0491588
110,4.0,0.6,8.0,0.4,2.035936497,2.070052
111,13.0,0.6,8.0,0.4,2.242680135,2.2857358
112,22.0,0.6,8.0,0.4,2.243106757,2.29059
113,31.0,0.6,8.0,0.4,2.243234403,2.3037753
114,40.0,0.6,8.0,0.4,2.243170403,2.3159525
115,4.0,0.7,8.0,0.4,2.179223918,2.1608393
116,13.0,0.7,8.0,0.4,2.505520366,2.5326357
117,22.0,0.7,8.0,0.4,2.503589773,2.5383384
118,31.0,0.7,8.0,0.4,2.505480894,2.5473022
119,40.0,0.7,8.0,0.4,2.503198253,2.5451846
120,4.0,0.2,20.0,0.4,2.287954782,2.305146
121,13.0,0.2,20.0,0.4,2.322590625,2.3402474
122,22.0,0.2,20.0,0.4,2.32407812,2.373898
123,31.0,0.2,20.0,0.4,2.324073308,2.3700624
124,40.0,0.2,20.0,0.4,2.324214386,2.3807411
125,4.0,0.3,20.0,0.4,3.524020254,3.519418
126,13.0,0.3,20.0,0.4,3.684643106,3.6418197
127,22.0,0.3,20.0,0.4,3.690939062,3.6886237
128,31.0,0.3,20.0,0.4,3.691117879,3.6967895
129,40.0,0.3,20.0,0.4,3.691133661,3.7208977
130,4.0,0.4,20.0,0.4,4.282494707,4.265319
131,13.0,0.4,20.0,0.4,4.677797729,4.6711125
132,22.0,0.4,20.0,0.4,4.693076786,4.7052774
133,31.0,0.4,20.0,0.4,4.693641796,4.7135224
134,40.0,0.4,20.0,0.4,4.693528753,4.726462
135,4.0,0.5,20.0,0.4,4.722269954,4.7754736
136,13.0,0.5,20.0,0.4,5.560850311,5.566914
137,22.0,0.5,20.0,0.4,5.590299473,5.5976195
138,31.0,0.5,20.0,0.4,5.591491501,5.6087914
139,40.0,0.5,20.0,0.4,5.591576741,5.6260943
140,4.0,0.6,20.0,0.4,4.785790522,4.7235074
141,13.0,0.6,20.0,0.4,6.162431786,6.1782527
142,22.0,0.6,20.0,0.4,6.208912213,6.213211
143,31.0,0.6,20.0,0.4,6.211035012,6.2252655
144,40.0,0.6,20.0,0.4,6.214433894,6.2509103
145,4.0,0.7,20.0,0.4,4.354684568,4.282645
146,13.0,0.7,20.0,0.4,6.28041056,6.276579
147,22.0,0.7,20.0,0.4,6.34528315,6.358813
148,31.0,0.7,20.0,0.4,6.348145617,6.352771
149,40.0,0.7,20.0,0.4,6.348320779,6.3569407
150,4.0,0.2,32.0,0.4,4.262250513,4.2456384
151,13.0,0.2,32.0,0.4,4.356238893,4.364491
152,22.0,0.2,32.0,0.4,4.366921656,4.393166
153,31.0,0.2,32.0,0.4,4.367100716,4.405476
154,40.0,0.2,32.0,0.4,4.36673781,4.3969736
155,4.0,0.3,32.0,0.4,5.842334131,5.8365183
156,13.0,0.3,32.0,0.4,6.199688012,6.210293
157,22.0,0.3,32.0,0.4,6.240070551,6.2623954
158,31.0,0.3,32.0,0.4,6.240600995,6.2901607
159,40.0,0.3,32.0,0.4,6.240986354,6.3051205
160,4.0,0.4,32.0,0.4,6.92830049,6.9147997
161,13.0,0.4,32.0,0.4,7.834577548,7.8730507
162,22.0,0.4,32.0,0.4,7.937924317,7.9632683
